BEGINING,TEST,HERE
"(590, 405)","(688, 406)","(807.7172557172557, 656)"
"(590, 405)","(689, 405)","(754.7782894736843, 618)"
"(590, 405)","(690, 406)","(821.8947368421052, 656)"
"(589, 405)","(687, 406)","(779.3945945945945, 656)"
"(590, 404)","(687, 405)","(779.3836032388664, 617)"
"(588, 405)","(689, 405)","(806.5263157894736, 618)"
"(589, 405)","(688, 406)","(797.2621621621622, 656)"
"(590, 405)","(690, 405)","(789.0526315789474, 601)"
"(591, 405)","(690, 406)","(799.7594594594595, 619)"
"(589, 405)","(688, 405)","(773.4566874566874, 618)"
"(589, 405)","(689, 405)","(777.1621621621622, 654)"
Accuarcy Avg,28.112931848785525,N/A
Accuarcy,"[24.04490279006891, 26.055687982910847, 28.045567166023087, 28.376474042456366, 25.859787897102468, 32.911167522428464, 30.35140894197661, 29.169895186624334, 29.230506835394213, 30.17541486379688, 27.050990868276216, 27.447461879936892, 30.78144218418841, 26.075150335151005, 30.2164254065526, 28.045704921410227, 25.037586460330914, 28.468352444978436, 26.218792782468036, 25.861295052386158, 28.749321936504675, 30.311163172315734]",N/A
Precision,0.021178878711551583,N/A
=====,=====,=====
"(592, 404)","(692, 404)","(829.2499999999999, 572)"
"(592, 405)","(692, 405)","(791.5184210526315, 601)"
"(592, 403)","(692, 404)","(835.0337837837837, 586)"
"(592, 403)","(692, 404)","(798.1732991014121, 513)"
"(591, 403)","(691, 404)","(827.9583333333333, 513)"
"(591, 404)","(689, 404)","(819.3456614509246, 580)"
"(591, 404)","(691, 405)","(845.0667522464698, 695)"
"(591, 403)","(691, 405)","(839.203947368421, 613)"
"(592, 404)","(690, 406)","(855.2289473684211, 688)"
"(591, 403)","(691, 405)","(816.6045883940621, 596)"
"(592, 403)","(692, 404)","(823.6184210526316, 562)"
"(591, 404)","(690, 405)","(793.1902286902288, 661)"
"(591, 404)","(692, 405)","(850.5718623481781, 661)"
"(591, 403)","(690, 404)","(815.5354251012146, 586)"
"(592, 403)","(691, 404)","(823.8210526315789, 660)"
"(592, 403)","(692, 404)","(829.2499999999999, 660)"
"(592, 403)","(691, 404)","(813.1980102695765, 586)"
"(593, 403)","(692, 404)","(797.5577663671372, 616)"
"(590, 404)","(691, 405)","(844.2349272349272, 654)"
"(591, 404)","(690, 404)","(837.5769230769231, 617)"
"(592, 403)","(690, 403)","(854.8186344238976, 578)"
"(593, 403)","(692, 404)","(830.1363928112967, 685)"
Accuarcy Avg,51.44062148740736,N/A
Accuarcy,"[50.798984190077825, 53.17820648126499, 50.51490099893707, 52.63005450201292, 50.85870171872524, 51.44225359727047, 51.402319553326144, 50.481078390631986, 50.67017575592183, 51.705212737703356, 51.10910105151059, 53.69382577641007, 50.4401114075366, 51.703424107627335, 51.99771812669053, 51.68628480992504, 51.84188138647993, 52.96023412394537, 50.708485475226915, 50.623775774294316, 49.192943338833096, 52.053999418610175]",N/A
Precision,0.04411490597209093,N/A
=====,=====,=====
"(593, 403)","(691, 404)","(900.6194331983805, 616)"
"(590, 404)","(692, 404)","(883.2132253711201, 606)"
"(592, 403)","(693, 404)","(870.4138513513515, 586)"
"(594, 403)","(693, 405)","(886.2236842105264, 653)"
"(592, 404)","(691, 404)","(872.8232574679943, 641)"
"(590, 403)","(692, 404)","(877.2660256410256, 586)"
"(590, 403)","(691, 404)","(849.2459514170041, 645)"
"(591, 403)","(690, 403)","(865.2368421052631, 619)"
"(590, 403)","(689, 404)","(875.7117117117117, 645)"
"(590, 403)","(690, 405)","(881.4035087719299, 646)"
"(591, 404)","(690, 405)","(882.0921052631579, 626)"
"(589, 403)","(690, 403)","(854.0690789473684, 604)"
"(589, 403)","(689, 403)","(869.3763157894738, 604)"
"(591, 402)","(691, 404)","(872.1429587482219, 575)"
"(591, 403)","(692, 404)","(913.1261261261262, 645)"
"(593, 402)","(692, 404)","(879.6229139922978, 575)"
"(593, 403)","(692, 404)","(884.8464912280702, 652)"
"(593, 402)","(693, 404)","(852.9099437148217, 652)"
"(592, 403)","(693, 403)","(874.6408250355618, 578)"
"(592, 403)","(692, 405)","(880.024948024948, 653)"
"(593, 402)","(693, 404)","(869.7878378378379, 615)"
"(593, 402)","(690, 403)","(877.8421052631579, 603)"
Accuarcy Avg,63.16771159303532,N/A
Accuarcy,"[62.3500333516025, 62.88666921915621, 63.24441206924593, 62.9783030218774, 63.34245624283448, 63.02733996569922, 64.07146813271108, 63.49313579339432, 63.27037460941379, 63.09676676770069, 62.99033079675838, 63.78957079028263, 63.319408382604855, 63.17060091766016, 62.057795676788466, 62.932060564122295, 63.01691513224735, 63.9933058876039, 63.09617553188068, 63.17347305594406, 63.339211695407876, 63.049847441841194]",N/A
Precision,0.10330495060806043,N/A
=====,=====,=====
"(586, 404)","(685, 405)","(676.665991902834, 723)"
"(587, 406)","(687, 406)","(703.2144736842105, 721)"
"(590, 404)","(687, 405)","(746.7861486486486, 683)"
"(588, 404)","(686, 405)","(738.09009009009, 608)"
"(585, 405)","(683, 405)","(691.753036437247, 684)"
"(586, 405)","(684, 405)","(709.1261808367071, 637)"
"(585, 405)","(682, 404)","(690.8574324324325, 642)"
"(585, 404)","(684, 404)","(764.7394736842105, 646)"
"(586, 404)","(683, 405)","(708.5678137651821, 674)"
"(584, 404)","(682, 403)","(690.6619433198381, 652)"
"(584, 404)","(683, 403)","(675.8534850640115, 685)"
"(585, 404)","(683, 403)","(691.753036437247, 641)"
"(584, 404)","(681, 404)","(682.4688149688151, 718)"
"(585, 405)","(683, 404)","(691.753036437247, 674)"
"(585, 405)","(681, 404)","(706.4655870445345, 674)"
"(584, 403)","(683, 404)","(692.1415540540539, 661)"
"(584, 404)","(683, 404)","(707.8785425101214, 646)"
"(586, 403)","(682, 404)","(698.2342105263158, 636)"
"(584, 402)","(683, 403)","(692.9751066856329, 590)"
"(586, 404)","(683, 403)","(707.810472972973, 762)"
"(585, 405)","(684, 405)","(685.9459459459459, 765)"
Accuarcy Avg,43.342410403197285,N/A
